PlatformName,PlatformURL,FoodType,ServiceType,BusinessModelType,BusinessNameAvailable,BusinessAddressAvailable,FHRSShown,FHRSRequiredOnRegistration,ScrapingRestrictions,ScrapingRestrictionsURL,OfficialAPIURL,RobotsURL,RobotsAllowsSearch,Javascript,LastUpdated,LastUpdatedBy
MeetUp,https://www.meetup.com/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,No,No,No mention,Yes - specific,https://help.meetup.com/hc/en-us/articles/360027447252,https://www.meetup.com/meetup_api/,https://www.meetup.com/robots.txtt,Yes,Yes,29/08/20,Pivigo Team
MindfulChef,https://www.mindfulchef.com/,Foodstuffs,Sellers,Recipe Boxes,NA,NA,No,NA,No - no data access terms,https://www.mindfulchef.com/info/terms-and-conditions,No Official API,https://www.mindfulchef.com/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Olio,https://olioex.com/,Foodstuffs,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
OneDelivery,https://one-delivery.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,No,No,No mention,No - no data access terms,https://one-delivery.co.uk/terms-and-conditions,No Official API,No robots,NA,No,29/08/20,Pivigo Team
OpenTable,https://www.opentable.co.uk/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Yes,No,No mention,Needs license,https://www.opentable.com/legal/terms-and-conditions,https://platform.opentable.com/documentation/,https://www.opentable.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Deliveries/Cooked Food,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Deliveries/Cooked Food,Compilators,Social Media,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Foodstuffs,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Pinterest,https://www.pinterest.co.uk/,Foodstuffs,Compilators,Social Media,Yes,No,No,No mention,Yes - indirect,https://policy.pinterest.com/en-gb/developer-guidelines,https://developers.pinterest.com/,https://www.pinterest.com/robots.txt,No,Yes,29/08/20,Pivigo Team
RangoonSisters,https://www.rangoonsisters.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://www.rangoonsisters.com/robots.txt,No ,No,29/08/20,Pivigo Team
RoamingHunger,https://roaminghunger.com/,Food Activities,Intermediaries,Ordering & Logistics - No Food Handling,Yes,Approximate area,No,No mention,Yes - specific,https://roaminghunger.com/pages/terms_and_conditions/,No Official API,https://roaminghunger.com/robots.txt,No,No,29/08/20,Pivigo Team
